route,station
Chicago - Miami,"Chicago, IL"
Chicago - Miami,"Dyer, IN"
Chicago - Miami,"Rensselaer, IN"
Chicago - Miami,"Lafayette, IN"
Chicago - Miami,"Crawfordsville, IN"
Chicago - Miami,"Indianapolis, IN"
Chicago - Miami,"Columbus, IN"
Chicago - Miami,"Louisville, KY"
Chicago - Miami,"Elizabethtown, KY"
Chicago - Miami,"Park City, KY"
Chicago - Miami,"Bowling Green, KY"
Chicago - Miami,"Gallatin, TN"
Chicago - Miami,"Nashville, TN"
Chicago - Miami,"Murfreesboro, TN"
Chicago - Miami,"Tullahoma, TN"
Chicago - Miami,"Chattanooga, TN"
Chicago - Miami,"Dalton, GA"
Chicago - Miami,"Marietta, GA "
Chicago - Miami,"Atlanta, GA"
Chicago - Miami,"Macon, GA"
Chicago - Miami,"Cordele, GA"
Chicago - Miami,"Douglas, GA"
Chicago - Miami,"Waycross, GA"
Chicago - Miami,"Jacksonville, FL"
Chicago - Miami,"Palatka, FL"
Chicago - Miami,"DeLand, FL"
Chicago - Miami,"Winter Park, FL"
Chicago - Miami,"Orlando, FL"
Chicago - Miami,"Kissimmee, FL"
Chicago - Miami,"Winter Haven, FL"
Chicago - Miami,"Sebring, FL"
Chicago - Miami,"Okeechobee, FL"
Chicago - Miami,"West Palm Beach, FL"
Chicago - Miami,"Delray Beach, FL"
Chicago - Miami,"Fort Lauderdale, FL"
Chicago - Miami,"Hollywood, FL"
Chicago - Miami,"Miami, FL"
Dallas/Fort Worth – Miami,"Fort Worth, TX"
Dallas/Fort Worth – Miami,"Dallas, TX"
Dallas/Fort Worth – Miami,"Mineola, TX"
Dallas/Fort Worth – Miami,"Longview, TX"
Dallas/Fort Worth – Miami,"Marshall, TX"
Dallas/Fort Worth – Miami,"Shreveport, LA"
Dallas/Fort Worth – Miami,"Clarence, LA"
Dallas/Fort Worth – Miami,"Alexandria-Pineville, LA"
Dallas/Fort Worth – Miami,"Baton Rouge, LA"
Dallas/Fort Worth – Miami,"Gonzales, LA"
Dallas/Fort Worth – Miami,"New Orleans, LA"
Dallas/Fort Worth – Miami,"Bay St. Louis, MS"
Dallas/Fort Worth – Miami,"Gulfport, MS"
Dallas/Fort Worth – Miami,"Biloxi, MS"
Dallas/Fort Worth – Miami,"Pascagoula, MS"
Dallas/Fort Worth – Miami,"Mobile, AL"
Dallas/Fort Worth – Miami,"Atmore, AL"
Dallas/Fort Worth – Miami,"Pensacola, FL"
Dallas/Fort Worth – Miami,"Crestview, FL"
Dallas/Fort Worth – Miami,"Chipley, FL"
Dallas/Fort Worth – Miami,"Tallahassee, FL"
Dallas/Fort Worth – Miami,"Madison, FL"
Dallas/Fort Worth – Miami,"Lake City, FL"
Dallas/Fort Worth – Miami,"Jacksonville, FL"
Dallas/Fort Worth – Miami,"St. Augustine, FL"
Dallas/Fort Worth – Miami,"Daytona Beach, FL"
Dallas/Fort Worth – Miami,"Titusville, FL"
Dallas/Fort Worth – Miami,"Melbourne, FL"
Dallas/Fort Worth – Miami,"Sebastian-Vero Beach, FL"
Dallas/Fort Worth – Miami,"Ocean Breeze, FL"
Dallas/Fort Worth – Miami,"West Palm Beach, FL"
Dallas/Fort Worth – Miami,"Delray Beach, FL"
Dallas/Fort Worth – Miami,"Fort Lauderdale, FL"
Dallas/Fort Worth – Miami,"Hollywood, FL"
Dallas/Fort Worth – Miami,"Miami, FL"
Denver – Houston ,"Denver, CO"
Denver – Houston ,"Castle Rock, CO"
Denver – Houston ,"Colorado Springs, CO"
Denver – Houston ,"Pueblo, CO"
Denver – Houston ,"Trinidad, CO"
Denver – Houston ,"Clayton, NM"
Denver – Houston ,"Dalhart, TX"
Denver – Houston ,"Amarillo, TX"
Denver – Houston ,"Clarendon, TX"
Denver – Houston ,"Memphis, TX"
Denver – Houston ,"Childress, TX"
Denver – Houston ,"Vernon, TX"
Denver – Houston ,"Wichita Falls, TX"
Denver – Houston ,"Bowie, TX"
Denver – Houston ,"Fort Worth, TX"
Denver – Houston ,"Dallas, TX"
Denver – Houston ,"Corsicana, TX"
Denver – Houston ,"Groesbeck, TX"
Denver – Houston ,"College Station, TX"
Denver – Houston ,"Cypress, TX"
Denver – Houston ,"Houston, TX"
Los Angeles – Denver,"Los Angeles, CA"
Los Angeles – Denver,"Fullerton, CA"
Los Angeles – Denver,"Riverside, CA"
Los Angeles – Denver,"San Bernardino, CA"
Los Angeles – Denver,"Victorville, CA"
Los Angeles – Denver,"Barstow, CA"
Los Angeles – Denver,"Primm, NV"
Los Angeles – Denver,"Las Vegas, NV"
Los Angeles – Denver,"North Las Vegas, NV"
Los Angeles – Denver,"Caliente, NV"
Los Angeles – Denver,"Milford, UT"
Los Angeles – Denver,"Delta, UT"
Los Angeles – Denver,"Nephi, UT"
Los Angeles – Denver,"Provo, UT"
Los Angeles – Denver,"Salt Lake City, UT"
Los Angeles – Denver,"Ogden, UT"
Los Angeles – Denver,"Evanston, WY"
Los Angeles – Denver,"Rock Springs, WY"
Los Angeles – Denver,"Rawlins, WY"
Los Angeles – Denver,"Laramie, WY"
Los Angeles – Denver,"Cheyenne, WY"
Los Angeles – Denver,"Fort Collins, CO"
Los Angeles – Denver,"Boulder, CO"
Los Angeles – Denver,"Denver, CO"
Phoenix – Minneapolis/St.  Paul,"Phoenix, AZ"
