trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
2183,8:15:00,8:15:00,RSV,1,0,1,1
2183,8:55:00,8:55:00,SAC,2,1,0,1
2328,10:15:00,10:15:00,SAC,1,0,1,1
2328,10:30:00,10:30:00,EKG,2,0,1,1
2328,11:15:00,11:15:00,SKN,3,1,0,1
2329,11:45:00,11:45:00,SKN,1,0,0,1
2329,12:35:00,12:35:00,SCS,2,1,0,1
2329,12:50:00,13:00:00,SAC,3,0,0,1
2329,13:50:00,13:50:00,MRV,4,1,0,1
2329,14:25:00,14:25:00,ORV,5,1,0,1
2329,14:55:00,14:55:00,CIC,6,1,0,1
2330,9:05:00,9:05:00,RDR,1,0,1,1
2330,9:40:00,9:40:00,RBF,2,0,0,1
2330,10:45:00,10:45:00,CIC,3,0,1,1
2330,11:10:00,11:10:00,ORV,4,0,0,1
2330,11:45:00,11:45:00,MRV,5,0,0,1
2330,12:50:00,13:05:00,SAC,6,0,0,1
2330,13:20:00,13:20:00,EKG,7,0,1,1
2330,14:05:00,14:05:00,SKN,8,1,0,1
2331,15:45:00,15:45:00,SKN,1,0,1,1
2331,16:35:00,16:35:00,EKG,2,1,0,1
2331,16:50:00,16:50:00,SCS,3,1,0,1
2331,17:00:00,17:25:00,SAC,4,0,0,1
2331,18:15:00,18:15:00,MRV,5,1,0,1
2331,18:50:00,18:50:00,ORV,6,1,0,1
2331,19:20:00,19:20:00,CIC,7,1,0,1
2331,20:15:00,20:15:00,RBF,8,1,0,1
2331,20:45:00,20:45:00,RDR,9,1,0,1
2334,13:05:00,13:05:00,RDR,1,0,1,1
2334,13:40:00,13:40:00,RBF,2,0,1,1
2334,14:45:00,14:45:00,CIC,3,0,1,1
2334,15:10:00,15:10:00,ORV,4,0,1,1
2334,15:45:00,15:45:00,MRV,5,0,1,1
2334,16:50:00,17:05:00,SAC,6,0,0,1
2334,17:20:00,17:20:00,EKG,7,0,1,1
2334,18:10:00,18:10:00,SKN,8,1,0,1
2360,8:30:00,8:30:00,DAV,1,0,0,1
2360,9:15:00,9:15:00,SAC,2,0,0,1
2362,9:40:00,9:40:00,DAV,1,0,0,1
2362,10:05:00,10:15:00,SAC,2,0,0,1
2362,11:05:00,11:05:00,SKT,3,0,0,1
2362,11:15:00,11:15:00,SKN,4,1,0,1
2365,11:45:00,11:45:00,SKN,1,0,0,1
2365,12:10:00,12:10:00,LOD,2,0,0,1
2365,12:50:00,13:00:00,SAC,3,0,0,1
2365,13:20:00,13:20:00,DAV,4,1,0,1
2368,12:05:00,12:05:00,DAV,1,0,0,1
2368,12:40:00,12:50:00,SAC,2,0,0,1
2368,13:30:00,13:30:00,LOD,3,0,0,1
2368,13:55:00,13:55:00,SKT,4,0,0,1
2368,14:05:00,14:05:00,SKN,5,0,0,1
2371,15:45:00,15:45:00,SKN,1,0,1,1
2371,15:55:00,15:55:00,SKT,2,1,0,1
2371,16:20:00,16:20:00,LOD,3,1,0,1
2371,17:05:00,17:15:00,SAC,4,0,0,1
2371,17:35:00,17:35:00,DAV,5,0,0,1
2374,14:20:00,14:20:00,DAV,1,0,1,1
2374,14:55:00,15:05:00,SAC,2,0,0,1
2374,15:20:00,15:20:00,EKG,3,0,1,1
2374,16:00:00,16:00:00,SKT,4,0,0,1
2374,16:10:00,16:10:00,SKN,5,1,0,1
2377,19:45:00,19:45:00,SKN,1,0,1,1
2377,19:55:00,19:55:00,SKT,2,1,0,1
2377,20:20:00,20:20:00,LOD,3,1,0,1
2377,21:05:00,21:15:00,SAC,4,0,0,1
2377,21:35:00,21:35:00,DAV,5,0,0,1
2383,23:45:00,23:45:00,SKN,1,0,0,1
2383,23:55:00,23:55:00,SKT,2,0,0,1
2383,24:45:00,24:45:00,EKG,3,1,0,1
2383,25:00:00,25:00:00,SCS,4,1,0,1
2383,25:10:00,25:20:00,SAC,5,1,0,1
2383,25:40:00,25:40:00,DAV,6,0,0,1
2401,19:15:00,19:15:00,SKT,1,0,0,1
2401,19:25:00,19:25:00,SKN,2,0,0,1
2469,15:25:00,15:25:00,SJC,1,0,0,1
2469,15:50:00,15:50:00,FRT,2,0,1,1
2469,16:10:00,16:10:00,DBP,3,0,1,1
2469,16:25:00,16:25:00,LIV,4,0,1,1
2469,16:50:00,16:50:00,TRA,5,0,1,1
2469,18:05:00,18:05:00,SKN,6,1,0,1
2941,23:50:00,23:50:00,SFC,1,0,1,1
2941,24:25:00,24:25:00,EMY,2,0,0,1
3365,10:00:00,10:00:00,FNO,1,0,1,1
3365,10:50:00,10:50:00,HNF,2,0,0,1
3365,12:30:00,12:35:00,BFD,3,0,0,1
3365,14:45:00,14:45:00,LAX,4,1,0,1
3421,11:00:00,11:00:00,WPS,1,0,0,1
3421,11:24:00,11:24:00,WIP,2,0,0,1
3422,17:00:00,17:00:00,WPS,1,0,0,1
3422,17:24:00,17:24:00,WIP,2,0,0,1
3668,12:24:00,12:24:00,WIP,1,0,0,1
3668,12:41:00,12:41:00,WPS,2,0,0,1
3669,18:24:00,18:24:00,WIP,1,0,0,1
3669,18:41:00,18:41:00,WPS,2,0,0,1
3876,20:45:00,20:45:00,MTZ,1,0,0,1
3876,21:00:00,21:00:00,VAL,2,0,0,1
3876,21:45:00,21:45:00,PTC,3,0,0,1
3876,22:00:00,22:00:00,RPC,4,0,0,1
3876,22:10:00,22:10:00,SRC,5,0,0,1
3953,17:20:00,17:20:00,EMY,1,0,1,1
3953,17:50:00,17:50:00,SFC,2,1,0,1
3955,21:25:00,21:25:00,EMY,1,0,1,1
3955,21:55:00,21:55:00,SFC,2,1,0,1
3956,15:50:00,15:50:00,SFC,1,0,0,1
3956,16:20:00,16:20:00,EMY,2,0,0,1
3958,1:20:00,1:20:00,EMY,1,0,1,1
3958,1:45:00,1:45:00,SFC,2,1,0,1
6689,7:10:00,7:10:00,WAS,1,0,0,1
6689,7:21:00,7:21:00,NCR,2,0,0,1
6689,7:25:00,7:25:00,SEB,3,0,0,1
6689,7:31:00,7:31:00,BWE,4,0,0,1
6689,7:38:00,7:38:00,OTN,5,0,0,1
6689,7:46:00,7:46:00,BWI,6,0,0,1
6689,7:51:00,7:51:00,HAE,7,0,0,1
6689,8:10:00,8:10:00,BAL,8,0,0,1
6948,12:40:00,12:40:00,WAS,1,0,0,1
6948,12:50:00,12:50:00,NCR,2,0,0,1
6948,12:58:00,12:58:00,BWE,3,0,0,1
6948,13:04:00,13:04:00,OTN,4,0,0,1
6948,13:15:00,13:15:00,BWI,5,0,0,1
6948,13:20:00,13:20:00,HAE,6,0,0,1
